ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_keywords,rtable_keywords,label,_id
"benchmarking zero-shot text classification: datasets, evaluation and entailment approach",deep sentiment classification and topic discovery on novel coronavirus or covid-19 online discussions: nlp using lstm recurrent neural network approach,w yin; j hay; d roth,h jelodar; y wang; r orji,"Classification, Topic Modelling, Zero-shot text","Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning",0,289
diachronic word embeddings and semantic shifts: a survey,topic modeling in management research: rendering new theory from textual data,a kutuzov; l øvrelid; t szymanski; e velldal,tr hannigan; rfj haans; k vakili,"Word Embedding, Semantic Shift, Topic Modelling ","topic modeling, management theory, rendering, text analysis, big data, theory building, qualitative analysis, mixed methods",0,493
mapping the anti-vaccination movement on facebook,no longer lost in translation: evidence that google translate works for comparative bag-of-words text applications,n smith; t graham,e de vries; m schoonvelde; g schumacher,Anti-vaccination; social network analysis; topic modelling; social network sites; social media,"automated content analysis, statistical analysis of texts, bag-of-words models, Google Translate, LDA",0,778
deep sentiment classification and topic discovery on novel coronavirus or covid-19 online discussions: nlp using lstm recurrent neural network approach,top concerns of tweeters during the covid-19 pandemic: infoveillance study,h jelodar; y wang; r orji,a abd-alrazaq; d alhuwail; m househ; m hamdi,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning","coronavirus, COVID-19; SARS-CoV-2 (144); 2019-nCov (8); social media (329); public health (216); Twitter (67); infoveillance (78); infodemiology (134); health informatics (20); disease surveillance (7) ",0,430
no longer lost in translation: evidence that google translate works for comparative bag-of-words text applications,short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,e de vries; m schoonvelde; g schumacher,t shi; k kang; j choo; ck reddy,"automated content analysis, statistical analysis of texts, bag-of-words models, Google Translate, LDA","Topic modeling, short texts, non-negative matrix factorization, word embedding",0,847
textured interfaces in monolithic perovskite/silicon tandem solar cells: advanced light management for improved efficiency and energy yield,"the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",m jošt; e köhnen; ab morales-vilches,zc lipton,"textured interfaces, solar cells, advance light management","Machine larning, Model Interpretability",0,1134
"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions",toward understanding the topical structure of hospitality literature: applying machine learning and traditional statistics,ih sarker,e park; b chae; j kwon,"Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems","topical structure modeling, topic modeling",0,381
applying lda topic modeling in communication research: toward a valid and reliable methodology,mapping the anti-vaccination movement on facebook,d maier; a waldherr; p miltner,n smith; t graham,"Content analysis, Communication research methods, Validity, Reliability, Textual analysis",Anti-vaccination; social network analysis; topic modelling; social network sites; social media,0,184
automated phrase mining from massive text corpora,calibration: the achilles heel of predictive analytics,j shang; j liu; m jiang; x ren,ben van calster; david j mcleron,"Automatic phrase mining, phrase mining, distant training, part-of-speech tag, multiple languages","Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance",0,265
"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey",stock movement prediction from tweets and historical prices,h jelodar; y wang; c yuan; x feng; x jiang,y xu; sb cohen,"Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling","Twitter, Stock Price, Topic Modelling",0,722
applying lda topic modeling in communication research: toward a valid and reliable methodology,"benchmarking zero-shot text classification: datasets, evaluation and entailment approach",d maier; a waldherr; p miltner,w yin; j hay; d roth,"Content analysis, Communication research methods, Validity, Reliability, Textual analysis","Classification, Topic Modelling, Zero-shot text",0,163
deep sentiment classification and topic discovery on novel coronavirus or covid-19 online discussions: nlp using lstm recurrent neural network approach,"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",h jelodar; y wang; r orji,h li; j zhu; c ma; j zhang,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning","Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision",0,429
topic compositional neural language model,"trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",w wang; z gan; w wang; d shen,a abdul; j vermeulen; d wang; by lim,"Neural Language Model, Topic Compositional, Topic Modeling",Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,0,1196
applying lda topic modeling in communication research: toward a valid and reliable methodology,short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,d maier; a waldherr; p miltner,t shi; k kang; j choo; ck reddy,"Content analysis, Communication research methods, Validity, Reliability, Textual analysis","Topic modeling, short texts, non-negative matrix factorization, word embedding",0,156
"sharp nearby, fuzzy far away: how neural language models use context","the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",u khandelwal; h he; p qi; d jurafsky,zc lipton,"Fuzzy, Topic Modelling, Neutral Language Model","Machine larning, Model Interpretability",0,1003
"don't give me the details, just the summary! topic-aware convolutional neural networks for extreme summarization",research trends on big data in marketing: a text mining and topic modeling based literature analysis,s narayan; sb cohen; m lapata,a amado; p cortez; p rita; s moro,"Topic-Aware Convolutional Neural Networks, Extreme Summarization",Big data Marketing Literature analysis Research trends Text mining,0,533
calibration: the achilles heel of predictive analytics,no longer lost in translation: evidence that google translate works for comparative bag-of-words text applications,ben van calster; david j mcleron,e de vries; m schoonvelde; g schumacher,"Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance","automated content analysis, statistical analysis of texts, bag-of-words models, Google Translate, LDA",0,358
aspect-aware latent factor model: rating prediction with ratings and reviews,topic modeling in embedding spaces,z cheng; y ding; l zhu; m kankanhalli,ab dieng; fjr ruiz; dm blei,"Aspect-aware, Matrix Factorization, Recommendation, Review-aware, Topic Model","Embeeding Space, Topic Modeling",0,231
aspect-aware latent factor model: rating prediction with ratings and reviews,leveraging deep learning with lda-based text analytics to detect automobile insurance fraud,z cheng; y ding; l zhu; m kankanhalli,y wang; w xu,"Aspect-aware, Matrix Factorization, Recommendation, Review-aware, Topic Model","Insurance Fraud, Fraud Detection, Text Analytics, Topic Modeling, Deep Learning",0,199
"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions",using social media to mine and analyze public opinion related to covid-19 in china,ih sarker,x han; j wang; m zhang; x wang,"Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems",coronavirus; COVID-19; social media; public opinion; China; resource allocation,0,382
research trends on big data in marketing: a text mining and topic modeling based literature analysis,the effect of online reviews on product sales: a joint sentiment-topic analysis,a amado; p cortez; p rita; s moro,x li; c wu; f mai,Big data Marketing Literature analysis Research trends Text mining,"eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis",0,979
calibration: the achilles heel of predictive analytics,"trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",ben van calster; david j mcleron,a abdul; j vermeulen; d wang; by lim,"Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance",Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,0,342
heterogeneous graph attention networks for semi-supervised short text classification,top concerns of tweeters during the covid-19 pandemic: infoveillance study,h linmei; t yang; c shi; h ji; x li,a abd-alrazaq; d alhuwail; m househ; m hamdi,"Heterogeneous Graph Attention Networks, Semi-supervised Short Text Classification","coronavirus, COVID-19; SARS-CoV-2 (144); 2019-nCov (8); social media (329); public health (216); Twitter (67); infoveillance (78); infodemiology (134); health informatics (20); disease surveillance (7) ",0,692
"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions","read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",ih sarker,h li; j zhu; c ma; j zhang,"Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems","Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision",0,394
aspect-aware latent factor model: rating prediction with ratings and reviews,mapping the anti-vaccination movement on facebook,z cheng; y ding; l zhu; m kankanhalli,n smith; t graham,"Aspect-aware, Matrix Factorization, Recommendation, Review-aware, Topic Model",Anti-vaccination; social network analysis; topic modelling; social network sites; social media,0,208
framing covid-19: how we conceptualize and discuss the pandemic on twitter,mapping the anti-vaccination movement on facebook,p wicke; mm bolognesi,n smith; t graham,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning",Anti-vaccination; social network analysis; topic modelling; social network sites; social media,0,613
"network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models",cistopic: cis-regulatory topic modeling on single-cell atac-seq data,j treur,c bravo gonzález-blas; l minnoye; d papasokrati,"Topic modeling, Network-Oriented Modeling, Adaptive Network","cis-Regulator, topic modeling",0,826
aspect-aware latent factor model: rating prediction with ratings and reviews,public perception of the covid-19 pandemic on twitter: sentiment analysis and topic modeling study,z cheng; y ding; l zhu; m kankanhalli,s boon-itt; y skunkan,"Aspect-aware, Matrix Factorization, Recommendation, Review-aware, Topic Model",COVID-19; Twitter; social media; infoveillance; infodemiology; infodemic; data; health informatics; mining; perception; topic modeling,0,210
leveraging deep learning with lda-based text analytics to detect automobile insurance fraud,text mining in organizational research,y wang; w xu,vb kobayashi; st mol; ha berkers,"Insurance Fraud, Fraud Detection, Text Analytics, Topic Modeling, Deep Learning","text mining, dimensionality reduction, clustering, topic modeling, classification, validation, job analysis",0,759
stm: an r package for structural topic models,the effect of online reviews on product sales: a joint sentiment-topic analysis,me roberts; bm stewart; d tingley,x li; c wu; f mai,"Structural Topic Model, Topic Modeling, Text Classifications","eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis",0,1079
the utility of topic modelling for discourse studies: a critical evaluation,cistopic: cis-regulatory topic modeling on single-cell atac-seq data,g brookes; t mcenery,c bravo gonzález-blas; l minnoye; d papasokrati,"Corpus linguistics, corpus-assisted discourse studies, latent Dirichlet allocation, patient feedback, topic modelling","cis-Regulator, topic modeling",0,1171
the effect of online reviews on product sales: a joint sentiment-topic analysis,toward understanding the topical structure of hospitality literature: applying machine learning and traditional statistics,x li; c wu; f mai,e park; b chae; j kwon,"eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis","topical structure modeling, topic modeling",0,1155
diachronic word embeddings and semantic shifts: a survey,health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,a kutuzov; l øvrelid; t szymanski; e velldal,q liu; z zheng; j zheng; q chen; g liu; s chen,"Word Embedding, Semantic Shift, Topic Modelling ",coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,0,519
"sharp nearby, fuzzy far away: how neural language models use context",the effect of online reviews on product sales: a joint sentiment-topic analysis,u khandelwal; h he; p qi; d jurafsky,x li; c wu; f mai,"Fuzzy, Topic Modelling, Neutral Language Model","eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis",0,1001
facebook language predicts depression in medical records,cistopic: cis-regulatory topic modeling on single-cell atac-seq data,jc eichstaedt; rj smith,c bravo gonzález-blas; l minnoye; d papasokrati,"big data, depression, social media, Facebook, screening","cis-Regulator, topic modeling",0,585
"don't give me the details, just the summary! topic-aware convolutional neural networks for extreme summarization",what is wrong with topic modeling? and how to fix it using search-based software engineering,s narayan; sb cohen; m lapata,a agrawal; w fu; t menzies,"Topic-Aware Convolutional Neural Networks, Extreme Summarization","Topic modeling, Stability, LDA, tuning, differential evolution",0,543
"don't give me the details, just the summary! topic-aware convolutional neural networks for extreme summarization","sharp nearby, fuzzy far away: how neural language models use context",s narayan; sb cohen; m lapata,u khandelwal; h he; p qi; d jurafsky,"Topic-Aware Convolutional Neural Networks, Extreme Summarization","Fuzzy, Topic Modelling, Neutral Language Model",0,532
analyst information discovery and interpretation roles: a topic modeling approach,policy diffusion: the issue‐definition stage,ah huang; r lehavy; ay zang,f gilardi; cr shipan; b wüest,"analysts, discovery, interpretation, topic modeling, latent Dirichlet allocation","Policy Diffusion, Topic Modeling, Definion Stage",0,96
leveraging deep learning with lda-based text analytics to detect automobile insurance fraud,mapping the anti-vaccination movement on facebook,y wang; w xu,n smith; t graham,"Insurance Fraud, Fraud Detection, Text Analytics, Topic Modeling, Deep Learning",Anti-vaccination; social network analysis; topic modelling; social network sites; social media,0,752
no longer lost in translation: evidence that google translate works for comparative bag-of-words text applications,social media mining for product planning: a product opportunity mining approach based on topic modeling and sentiment analysis,e de vries; m schoonvelde; g schumacher,b jeong; j yoon; jm lee,"automated content analysis, statistical analysis of texts, bag-of-words models, Google Translate, LDA",Product opportunity New product development Social media mining Opportunity algorithm Topic modeling Sentiment analysis,0,858
applying lda topic modeling in communication research: toward a valid and reliable methodology,calibration: the achilles heel of predictive analytics,d maier; a waldherr; p miltner,ben van calster; david j mcleron,"Content analysis, Communication research methods, Validity, Reliability, Textual analysis","Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance",0,178
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,what is wrong with topic modeling? and how to fix it using search-based software engineering,x zhou; w liang; i kevin; k wang,a agrawal; w fu; t menzies,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Topic modeling, Stability, LDA, tuning, differential evolution",0,31
policy diffusion: the issue‐definition stage,what do hotel customers complain about? text analysis using structural topic model,f gilardi; cr shipan; b wüest,n hu; t zhang; b gao; i bose,"Policy Diffusion, Topic Modeling, Definion Stage",Online hotel reviews Customer dissatisfaction Structural topic model Text mining Tripadviso,0,893
short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,top concerns of tweeters during the covid-19 pandemic: infoveillance study,t shi; k kang; j choo; ck reddy,a abd-alrazaq; d alhuwail; m househ; m hamdi,"Topic modeling, short texts, non-negative matrix factorization, word embedding","coronavirus, COVID-19; SARS-CoV-2 (144); 2019-nCov (8); social media (329); public health (216); Twitter (67); infoveillance (78); infodemiology (134); health informatics (20); disease surveillance (7) ",0,1029
policy diffusion: the issue‐definition stage,social media mining for product planning: a product opportunity mining approach based on topic modeling and sentiment analysis,f gilardi; cr shipan; b wüest,b jeong; j yoon; jm lee,"Policy Diffusion, Topic Modeling, Definion Stage",Product opportunity New product development Social media mining Opportunity algorithm Topic modeling Sentiment analysis,0,898
policy diffusion: the issue‐definition stage,"the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",f gilardi; cr shipan; b wüest,zc lipton,"Policy Diffusion, Topic Modeling, Definion Stage","Machine larning, Model Interpretability",0,888
facebook language predicts depression in medical records,topic modeling in management research: rendering new theory from textual data,jc eichstaedt; rj smith,tr hannigan; rfj haans; k vakili,"big data, depression, social media, Facebook, screening","topic modeling, management theory, rendering, text analysis, big data, theory building, qualitative analysis, mixed methods",0,561
detecting latent topics and trends in educational technologies over four decades using structural topic modeling: a retrospective of all volumes of computers …,using social media to mine and analyze public opinion related to covid-19 in china,x chen; d zou; g cheng; h xie,x han; j wang; m zhang; x wang,Applications in subject areas Data science applications in education,coronavirus; COVID-19; social media; public opinion; China; resource allocation,0,458
health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,"social media analytics–challenges in topic discovery, data collection, and data preparation",q liu; z zheng; j zheng; q chen; g liu; s chen,s stieglitz; m mirbabaie; b ross,coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,Social media analytics Social media Information systems Big data,0,636
"trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",what do hotel customers complain about? text analysis using structural topic model,a abdul; j vermeulen; d wang; by lim,n hu; t zhang; b gao; i bose,Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,Online hotel reviews Customer dissatisfaction Structural topic model Text mining Tripadviso,0,1217
analyst information discovery and interpretation roles: a topic modeling approach,stm: an r package for structural topic models,ah huang; r lehavy; ay zang,me roberts; bm stewart; d tingley,"analysts, discovery, interpretation, topic modeling, latent Dirichlet allocation","Structural Topic Model, Topic Modeling, Text Classifications",0,88
health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,research trends on big data in marketing: a text mining and topic modeling based literature analysis,q liu; z zheng; j zheng; q chen; g liu; s chen,a amado; p cortez; p rita; s moro,coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,Big data Marketing Literature analysis Research trends Text mining,0,630
"benchmarking zero-shot text classification: datasets, evaluation and entailment approach",text similarity in vector space models: a comparative study,w yin; j hay; d roth,o shahmirzadi; a lugowski,"Classification, Topic Modelling, Zero-shot text","text similarity, vector space model, text embedding, patent, big data",0,296
"sharp nearby, fuzzy far away: how neural language models use context",stm: an r package for structural topic models,u khandelwal; h he; p qi; d jurafsky,me roberts; bm stewart; d tingley,"Fuzzy, Topic Modelling, Neutral Language Model","Structural Topic Model, Topic Modeling, Text Classifications",0,1000
"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey",what is wrong with topic modeling? and how to fix it using search-based software engineering,h jelodar; y wang; c yuan; x feng; x jiang,a agrawal; w fu; t menzies,"Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling","Topic modeling, Stability, LDA, tuning, differential evolution",0,716
social media mining for product planning: a product opportunity mining approach based on topic modeling and sentiment analysis,"the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",b jeong; j yoon; jm lee,zc lipton,Product opportunity New product development Social media mining Opportunity algorithm Topic modeling Sentiment analysis,"Machine larning, Model Interpretability",0,1063
calibration: the achilles heel of predictive analytics,"social media analytics–challenges in topic discovery, data collection, and data preparation",ben van calster; david j mcleron,s stieglitz; m mirbabaie; b ross,"Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance",Social media analytics Social media Information systems Big data,0,331
policy diffusion: the issue‐definition stage,"trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",f gilardi; cr shipan; b wüest,a abdul; j vermeulen; d wang; by lim,"Policy Diffusion, Topic Modeling, Definion Stage",Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,0,899
text similarity in vector space models: a comparative study,what do hotel customers complain about? text analysis using structural topic model,o shahmirzadi; a lugowski,n hu; t zhang; b gao; i bose,"text similarity, vector space model, text embedding, patent, big data",Online hotel reviews Customer dissatisfaction Structural topic model Text mining Tripadviso,0,1124
framing covid-19: how we conceptualize and discuss the pandemic on twitter,public perception of the covid-19 pandemic on twitter: sentiment analysis and topic modeling study,p wicke; mm bolognesi,s boon-itt; y skunkan,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning",COVID-19; Twitter; social media; infoveillance; infodemiology; infodemic; data; health informatics; mining; perception; topic modeling,1,596
leveraging deep learning with lda-based text analytics to detect automobile insurance fraud,topic compositional neural language model,y wang; w xu,w wang; z gan; w wang; d shen,"Insurance Fraud, Fraud Detection, Text Analytics, Topic Modeling, Deep Learning","Neural Language Model, Topic Compositional, Topic Modeling",0,755
text similarity in vector space models: a comparative study,"trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",o shahmirzadi; a lugowski,a abdul; j vermeulen; d wang; by lim,"text similarity, vector space model, text embedding, patent, big data",Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,0,1127
policy diffusion: the issue‐definition stage,"social media analytics–challenges in topic discovery, data collection, and data preparation",f gilardi; cr shipan; b wüest,s stieglitz; m mirbabaie; b ross,"Policy Diffusion, Topic Modeling, Definion Stage",Social media analytics Social media Information systems Big data,0,887
"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions","social media analytics–challenges in topic discovery, data collection, and data preparation",ih sarker,s stieglitz; m mirbabaie; b ross,"Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems",Social media analytics Social media Information systems Big data,0,371
"benchmarking zero-shot text classification: datasets, evaluation and entailment approach",text mining in organizational research,w yin; j hay; d roth,vb kobayashi; st mol; ha berkers,"Classification, Topic Modelling, Zero-shot text","text mining, dimensionality reduction, clustering, topic modeling, classification, validation, job analysis",0,306
stock movement prediction from tweets and historical prices,the effect of online reviews on product sales: a joint sentiment-topic analysis,y xu; sb cohen,x li; c wu; f mai,"Twitter, Stock Price, Topic Modelling","eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis",0,1096
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,the effect of online reviews on product sales: a joint sentiment-topic analysis,x zhou; w liang; i kevin; k wang,x li; c wu; f mai,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis",0,10
"don't give me the details, just the summary! topic-aware convolutional neural networks for extreme summarization",textured interfaces in monolithic perovskite/silicon tandem solar cells: advanced light management for improved efficiency and energy yield,s narayan; sb cohen; m lapata,m jošt; e köhnen; ab morales-vilches,"Topic-Aware Convolutional Neural Networks, Extreme Summarization","textured interfaces, solar cells, advance light management",0,535
deep sentiment classification and topic discovery on novel coronavirus or covid-19 online discussions: nlp using lstm recurrent neural network approach,"the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",h jelodar; y wang; r orji,zc lipton,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning","Machine larning, Model Interpretability",0,428
"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey",mapping the anti-vaccination movement on facebook,h jelodar; y wang; c yuan; x feng; x jiang,n smith; t graham,"Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling",Anti-vaccination; social network analysis; topic modelling; social network sites; social media,0,721
analyst information discovery and interpretation roles: a topic modeling approach,aspect-aware latent factor model: rating prediction with ratings and reviews,ah huang; r lehavy; ay zang,z cheng; y ding; l zhu; m kankanhalli,"analysts, discovery, interpretation, topic modeling, latent Dirichlet allocation","Aspect-aware, Matrix Factorization, Recommendation, Review-aware, Topic Model",0,59
policy diffusion: the issue‐definition stage,topic modeling in embedding spaces,f gilardi; cr shipan; b wüest,ab dieng; fjr ruiz; dm blei,"Policy Diffusion, Topic Modeling, Definion Stage","Embeeding Space, Topic Modeling",0,876
analyst information discovery and interpretation roles: a topic modeling approach,applications of deep learning in stock market prediction: recent progress,ah huang; r lehavy; ay zang,w jiang,"analysts, discovery, interpretation, topic modeling, latent Dirichlet allocation",Stock market prediction Deep learning Machine learning Feedforward neural network Convolutional neural network Recurrent neural network ,0,63
policy diffusion: the issue‐definition stage,"sharp nearby, fuzzy far away: how neural language models use context",f gilardi; cr shipan; b wüest,u khandelwal; h he; p qi; d jurafsky,"Policy Diffusion, Topic Modeling, Definion Stage","Fuzzy, Topic Modelling, Neutral Language Model",0,890
"real-time crash prediction models: state-of-the-art, design pathways and ubiquitous requirements","the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",m hossain; m abdel-aty; ma quddus,zc lipton,ITS Real-time crash prediction model Design pathway Universal design requirements,"Machine larning, Model Interpretability",0,959
leveraging deep learning with lda-based text analytics to detect automobile insurance fraud,"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",y wang; w xu,h li; j zhu; c ma; j zhang,"Insurance Fraud, Fraud Detection, Text Analytics, Topic Modeling, Deep Learning","Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision",0,730
public perception of the covid-19 pandemic on twitter: sentiment analysis and topic modeling study,what do hotel customers complain about? text analysis using structural topic model,s boon-itt; y skunkan,n hu; t zhang; b gao; i bose,COVID-19; Twitter; social media; infoveillance; infodemiology; infodemic; data; health informatics; mining; perception; topic modeling,Online hotel reviews Customer dissatisfaction Structural topic model Text mining Tripadviso,0,907
topic compositional neural language model,cistopic: cis-regulatory topic modeling on single-cell atac-seq data,w wang; z gan; w wang; d shen,c bravo gonzález-blas; l minnoye; d papasokrati,"Neural Language Model, Topic Compositional, Topic Modeling","cis-Regulator, topic modeling",0,1190
calibration: the achilles heel of predictive analytics,"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey",ben van calster; david j mcleron,h jelodar; y wang; c yuan; x feng; x jiang,"Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance","Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling",0,332
textured interfaces in monolithic perovskite/silicon tandem solar cells: advanced light management for improved efficiency and energy yield,toward understanding the topical structure of hospitality literature: applying machine learning and traditional statistics,m jošt; e köhnen; ab morales-vilches,e park; b chae; j kwon,"textured interfaces, solar cells, advance light management","topical structure modeling, topic modeling",0,1138
calibration: the achilles heel of predictive analytics,the effect of online reviews on product sales: a joint sentiment-topic analysis,ben van calster; david j mcleron,x li; c wu; f mai,"Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance","eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis",0,323
"benchmarking zero-shot text classification: datasets, evaluation and entailment approach",diachronic word embeddings and semantic shifts: a survey,w yin; j hay; d roth,a kutuzov; l øvrelid; t szymanski; e velldal,"Classification, Topic Modelling, Zero-shot text","Word Embedding, Semantic Shift, Topic Modelling ",0,297
what is wrong with topic modeling? and how to fix it using search-based software engineering,cistopic: cis-regulatory topic modeling on single-cell atac-seq data,a agrawal; w fu; t menzies,c bravo gonzález-blas; l minnoye; d papasokrati,"Topic modeling, Stability, LDA, tuning, differential evolution","cis-Regulator, topic modeling",0,1224
"real-time crash prediction models: state-of-the-art, design pathways and ubiquitous requirements",the effect of online reviews on product sales: a joint sentiment-topic analysis,m hossain; m abdel-aty; ma quddus,x li; c wu; f mai,ITS Real-time crash prediction model Design pathway Universal design requirements,"eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis",0,952
"don't give me the details, just the summary! topic-aware convolutional neural networks for extreme summarization","trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",s narayan; sb cohen; m lapata,a abdul; j vermeulen; d wang; by lim,"Topic-Aware Convolutional Neural Networks, Extreme Summarization",Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,0,541
analyst information discovery and interpretation roles: a topic modeling approach,"trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",ah huang; r lehavy; ay zang,a abdul; j vermeulen; d wang; by lim,"analysts, discovery, interpretation, topic modeling, latent Dirichlet allocation",Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,0,83
applications of deep learning in stock market prediction: recent progress,topic modeling in embedding spaces,w jiang,ab dieng; fjr ruiz; dm blei,Stock market prediction Deep learning Machine learning Feedforward neural network Convolutional neural network Recurrent neural network ,"Embeeding Space, Topic Modeling",0,129
stm: an r package for structural topic models,what is wrong with topic modeling? and how to fix it using search-based software engineering,me roberts; bm stewart; d tingley,a agrawal; w fu; t menzies,"Structural Topic Model, Topic Modeling, Text Classifications","Topic modeling, Stability, LDA, tuning, differential evolution",0,1081
detecting latent topics and trends in educational technologies over four decades using structural topic modeling: a retrospective of all volumes of computers …,topic modeling in embedding spaces,x chen; d zou; g cheng; h xie,ab dieng; fjr ruiz; dm blei,Applications in subject areas Data science applications in education,"Embeeding Space, Topic Modeling",0,479
"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",toward understanding the topical structure of hospitality literature: applying machine learning and traditional statistics,h li; j zhu; c ma; j zhang,e park; b chae; j kwon,"Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision","topical structure modeling, topic modeling",0,940
